, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
30, -3.0743670524813695, -8.317377591151034, -9.448744617855336, -3.248128957499272, -7.606805154246819, -2.493883554002152, 5.0697989340094605,
31, -1.6530597472702737, -8.257342139119249, -9.442434974272675, -2.211832632971154, -7.493170666208873, -2.1066058102170633, 4.90722816399287,
32, -1.289392925239762, -7.987597462159927, -9.427273977822335, -2.9095353147846756, -7.5875209902504555, -2.216266214177979, 5.860259868984222,
33, -1.4956103777057104, -7.687091168683134, -9.43457875163124, -2.24724283389245, -7.701786468220639, -2.3326341366735375, 5.730155247051799,
34, -1.2348583877995645, -7.816271296820898, -9.363767789088548, -2.3602907722703694, -7.518090520590521, -2.3559982631350413, 5.107588147893939,
35, -0.8170437405731523, -7.902350017773687, -9.416975795509515, -1.9035970359775114, -7.710739892922288, -2.1640473547909727, 4.9497718025106305,
36, -0.28856654481293775, -7.524630305464084, -9.324862013512956, -2.0496395947160297, -7.704902768672301, -2.278940422322775, 6.203076076928536,
37, -0.33650349650349654, -7.732643349240313, -9.409198395639486, -2.349732045620645, -7.876893537184145, -1.7310823786142937, 6.457679840662346,
38, -0.3893582832262077, -7.442708271714483, -9.320014915028473, -1.821412068876508, -7.524385222620516, -2.1220771254800908, 6.055292883576894,
39, -0.26868863655767095, -7.328573756227916, -9.31512325324157, -1.789895342752486, -7.344863422973385, -1.6125844439248695, 5.938003133793745,
40, 0.16173809489490482, -7.2466564653984005, -9.32693617616851, -1.4166053218697283, -7.352220896220897, -1.8031426570628253, 5.973589617236548,
41, -0.45732946298984034, -7.3747967008133255, -9.363985186893732, -1.375648024427162, -7.427915462045934, -1.8477533651758578, 6.453588865548234,
42, 1.0306938159879337, -7.437874749364111, -9.296453147953134, -0.6080720075264148, -7.131907374128318, -1.4590070070581425, 6.454885660478881,
43, 1.440173956762192, -7.7333117889572005, -9.251111569721212, -0.9022222222222223, -7.273168790600968, -1.133499799919968, 6.174176069831807,
44, 1.4130503935165422, -7.698406703308171, -9.292846220969087, -0.7224237226805617, -7.618311707447466, -1.0491387150604923, 6.233502214317155,
45, 1.4876748215815918, -7.425433825433825, -9.328320982796686, -0.5114222280956786, -7.2819356234581765, -1.5234512230424087, 6.676965435117208,
46, 0.5360482654600301, -7.369826657834892, -9.288884642858928, -0.5884475563274955, -7.5183116308702065, -1.4132176870748299, 6.992162467017141,
47, 1.242837176799441, -7.119515179540535, -9.229668620480583, -0.2102061960769507, -7.542377044510298, -0.8607142857142855, 6.715998791604397,
48, 1.1195221445221446, -7.336378121681141, -9.2719858978074, -0.5439214551068654, -7.522264172240076, -1.243466373783556, 6.797763157894737,
49, 1.2206949891067538, -7.321756058239205, -9.29975256116549, -0.21258132343846636, -7.611915034510862, -1.1924798180141623, 6.900632938277899,
50, 1.875192173305381, -7.040181287638914, -9.277777459089428, -0.24352357039022826, -7.669622007989415, -1.195032710956723, 7.0672843236542535,
51, 1.5228488418721493, -6.903375987534895, -9.255446852844765, -0.18414767471196702, -7.66865303781122, -0.8190744680851063, 6.808855793929931,
52, 1.6970800924143241, -6.694524028184306, -9.316035515618314, 0.031078126314019006, -7.819746962330082, 0.024061224489795956, 7.107010361267127,
53, 1.401002202138717, -6.74273755164166, -9.291193082594154, 0.3601277495389322, -7.369922813504902, -0.3304613671555578, 7.256167021877294,
54, 1.4710858952368386, -6.7536900170445815, -9.303561674171403, 0.15250000000000002, -7.336547222556613, -0.09813309671694763, 7.2618247838810035,
55, 1.8025597147950088, -6.419509847640282, -9.25519568151147, 0.05385060129509713, -7.510089218508779, -0.35976741760534, 7.016491102364957,
56, 1.2788824383164006, -6.612542825034147, -9.228089249709416, 0.03777334122054619, -7.45998646246497, 0.25888653759376085, 7.1705414064532915,
57, 2.126538888414582, -6.579644215433689, -9.189611699522917, -0.08195045739541577, -7.644000308593158, -0.08237105665577982, 7.151046328825404,
58, 2.1316376098150736, -6.403053183281453, -9.217612735835198, 1.033108816649189, -7.318251397387402, -0.4209356003270874, 7.034725423518317,
59, 1.8342897842897845, -6.5454995626631405, -9.220735612004825, 0.7455031162690737, -7.348245008519671, 0.2954803921568628, 6.888674863387979,
60, 1.9727552447552448, -6.311426240105121, -9.145179917164752, 1.1744778030069427, -7.208721948975113, 0.7137074829931973, 7.312493978890532,
61, 1.9909199477770905, -6.585703494640367, -9.199176762969866, 0.9676957167136372, -7.5528594361488315, -0.3946631205673759, 7.3907950900667405,
62, 2.5789633067635287, -6.488040543679693, -9.253600830687102, 1.1868079429277612, -7.451106808307105, 0.6298882233744562, 7.200851233495337,
63, 2.7728643997511924, -6.272540204068957, -9.289794322286276, 1.2036337868480727, -7.403932741187643, 0.20522108843537418, 7.555584349315692,
64, 3.05641403896982, -5.79186565447435, -9.289008326059673, 0.6422872340425533, -7.525328565311639, 0.7084401982809776, 7.4314057917888565,
65, 2.7510401057475184, -6.403630868617344, -9.217098548633572, 1.1554044828763228, -7.582523866452182, 0.11649336836183746, 7.130561009817671,
66, 2.9445822699216007, -6.15960457387626, -9.345059122393405, 1.5168718467119418, -7.357935081123486, 1.0278865588788706, 7.308609173112215,
67, 2.8756227233425826, -6.133011319281811, -9.271276987765724, 0.9392270531400966, -7.466108762038994, 0.8589066931120275, 7.3195285087719295,
68, 2.4415224775224775, -6.1936698670676105, -9.192966369379414, 1.228134582911179, -7.570217757246377, 0.57231031543052, 7.398956633189078,
69, 2.472893733717263, -6.44766899417162, -9.222494693183467, 1.570549755517378, -7.481359424888836, 0.6971855550730931, 7.628633895587221,
70, 2.534975394975395, -6.231825396825397, -9.251757861949923, 1.3561208757323466, -7.377195520236104, 0.9251738911841214, 7.674540728996348,
71, 2.2408672564332943, -6.3978220329227575, -9.284046703859854, 1.2547876659371722, -7.220620114516828, 1.748908977846093, 7.764298081492041,
72, 2.3313821167938817, -5.887558922558922, -9.207629041025784, 1.8335529715762273, -7.355995670995671, 1.3686339557099436, 7.8034117110874535,
73, 2.4300880600880603, -6.21202393885463, -9.250779535916838, 1.8052888773568587, -7.2825683458897235, 1.2739671453865828, 7.940288855743839,
74, 3.3566952544311035, -6.642362483530962, -9.238971679475947, 1.4861111111111112, -7.131129681973751, 1.5661436079448503, 8.11654981989582,
75, 2.994026713291858, -6.638206358584187, -9.272022135583953, 1.7071219585654973, -7.255344153793521, 1.1862746721877155, 8.061616064976555,
76, 3.103546791364421, -6.834164629014391, -9.280088684559159, 1.6377479510386608, -7.20795951417004, 1.3941715745573828, 7.809331728054555,
77, 3.1780081516923624, -6.67022557327667, -9.200077333795647, 1.9598420111860695, -7.259065890586808, 1.4783596142419673, 7.959931771096633,
78, 3.2106493506493505, -6.3166037219485505, -9.248821222280304, 1.859915086602017, -7.068260575792008, 2.161499951381353, 7.975627592877248,
79, 3.070677517711416, -6.51748977129174, -9.255400971365347, 2.0905883301096067, -7.05288706413517, 1.6063116883116884, 8.121409565379214,
80, 3.22331985155017, -6.602642563134327, -9.32409764188036, 2.0317293419099456, -7.24821719606931, 2.4610987568624973, 7.8930669449985205,
81, 3.4658869395711505, -6.507957439164082, -9.241107934857935, 2.0459687899211487, -7.2135086261668535, 2.487809671694765, 8.069363781747786,
82, 3.7642994241088616, -6.457009333844778, -9.291044342446773, 2.113488392581824, -7.194097645363, 1.5029944499538945, 8.247973159755706,
83, 3.351578947368421, -6.525964310598494, -9.274760981680926, 2.3948456120036665, -7.189271880576229, 2.2903479135243843, 7.912948377787087,
84, 3.847511335506219, -6.474846204990645, -9.256738075100907, 2.7778919558917083, -7.27410373691833, 1.4436767805936603, 8.065524704663236,
85, 3.5775187181790953, -6.39100876043727, -9.330086164773885, 2.6614622823984524, -7.045226662762895, 2.2002220910660806, 8.281780117822379,
86, 3.5361774074981627, -6.786475697717977, -9.27703706944978, 3.323605442176871, -7.286038937162044, 1.8388832234796666, 8.104226066486225,
