iteration, Cramer_ncLR0.00005_2, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
10, 501.8932038834951, 515.8542141230068, 768.9655172413793, 788.25, 722.6630434782609, 817.2093023255813, 710.8376963350786, 592.3842592592592, 597.3995271867612, 518.6274509803922, 569.6252927400468, 537.4099099099099, 512.0149253731344, 495.99520383693044, 490.92457420924575, 496.67452830188677, 493.58669833729215, 557.4461538461538, 614.0345821325649, 590.8187134502924, 464.6055437100213, 518.5401459854014, 835.6703910614525, 827.3255813953489, 862.7966101694915, 803.1476323119778, 880.5621301775147, 376.46907216494844, 305.66831683168317, 363.54330708661416, 314.5771144278607, 310.078125, 1041.6109422492402, 932.3697916666666, 919.3990384615385, 1098.9057750759878, 1014.0579710144928,
11, 519.906103286385, 525.9708737864078, 766.9060773480663, 764.5294117647059, 728.0748663101605, 810.3086419753087, 738.448275862069, 604.292343387471, 552.7505330490405, 530.1882845188285, 549.3981481481482, 541.0227272727273, 506.7710843373494, 492.8028503562945, 510.7371007371007, 510.78199052132703, 512.8030303030303, 689.2173913043479, 656.0402684563759, 664.1883116883117, 497.58700696055683, 546.8627450980392, 829.9120234604105, 896.0802469135803, 797.4789915966387, 826.7613636363636, 849.0449438202247, 385.1485148514852, 378.7121212121212, 392.99528301886795, 344.82573726541557, 337.07894736842104, 1053.3333333333333, 969.7826086956521, 934.6793349168646, 1074.0548780487804, 1025.5489614243324,
12, 558.1435643564356, 580.9823677581863, 694.7120418848167, 750.9941520467836, 729.1370558375635, 801.7543859649123, 689.4148936170212, 582.6315789473684, 583.7892376681615, 517.2637795275591, 549.5011337868481, 519.8850574712644, 527.6213592233009, 525.4308093994778, 525.8852867830424, 518.9024390243902, 490.6280193236715, 1015.2592592592592, 834.7619047619048, 687.5812274368232, 540.6904761904761, 544.1504854368932, 880.1807228915662, 873.6196319018405, 853.4971098265896, 855.8452722063038, 890.7645259938838, 445.15513126491646, 386.9829683698297, 427.7263157894737, 389.33161953727506, 400.27472527472526, 1094.0752351097178, 980.3217158176943, 993.3937823834196, 1102.874617737003, 1029.7947214076246,
13, 528.803611738149, 589.4146341463414, 734.8584905660377, 693.9303482587064, 791.6847826086956, 813.3139534883721, 653.7387387387388, 542.4175824175824, 570.4464285714286, 522.3185483870968, 569.020979020979, 565.9810874704492, 587.5384615384615, 555.8575197889182, 558.503937007874, 523.0637254901961, 542.6237623762377, 1084.766355140187, 929.6527777777778, 801.7592592592592, 590.8997429305913, 577.6227390180878, 871.3274336283185, 853.2471264367816, 908.974358974359, 869.6755162241888, 870.2346041055719, 426.528384279476, 430.11019283746555, 469.9800399201597, 422.3130841121495, 362.5720620842572, 1027.8614457831325, 1053.7822349570201, 985.1515151515151, 1174.0584415584415, 1058.7031700288185,
14, 553.4722222222222, 573.6915887850467, 766.3783783783783, 773.7837837837837, 811.1299435028249, 762.0744680851063, 733.1794871794872, 602.3529411764706, 558.7665198237886, 504.29447852760734, 573.9318181818181, 593.7649880095923, 667.741935483871, 555.5949367088608, 651.3675213675214, 582.7604166666666, 552.074074074074, 1061.04, 1043.5460992907801, 921.7365269461078, 594.5118733509235, 576.1803713527852, 898.9665653495441, 853.3819241982508, 921.4469453376206, 900.7453416149068, 954.4372990353697, 493.872437357631, 479.40625, 468.6354378818737, 453.9524838012959, 400.42826552462526, 1156.476510067114, 1123.9072847682119, 962.7317073170732, 1220.0340136054422, 1047.8753541076487,
15, 565.1363636363636, 616.9576059850374, 780.6190476190476, 741.8134715025907, 818.448275862069, 845.207100591716, 765.4639175257732, 545.5531453362256, 606.3251670378619, 535.3433476394849, 605.2360515021459, 594.8198198198198, 871.7333333333333, 602.4415584415584, 709.8738170347003, 641.578947368421, 587.774936061381, 1011.9166666666666, 1083.4126984126983, 994.8322147651006, 670.7868852459017, 606.1064425770309, 934.336569579288, 866.2006079027356, 962.6779661016949, 1004.4912280701755, 915.487012987013, 550.2481389578164, 609.4418604651163, 464.3225806451613, 503.3707865168539, 428.03097345132744, 1200.6293706293707, 1151.311475409836, 1006.0922330097087, 1282.9197080291972, 1086.2099125364432,
16, 576.1267605633802, 625.4545454545455, 849.7126436781609, 747.9274611398964, 858.5164835164835, 884.7337278106509, 906.0736196319018, 562.7114967462039, 599.3162393162393, 544.4769874476988, 547.7351247600768, 595.3125, 940.8585858585859, 635.3150684931506, 964.45, 662.4512534818941, 644.8611111111111, 1114.2477876106195, 1146.4655172413793, 980.4827586206897, 995.1190476190476, 627.9360465116279, 961.7684887459807, 904.9211356466877, 931.3513513513514, 975.3898305084746, 900.6191950464396, 544.3672456575682, 694.5180722891566, 497.9912663755459, 514.8237885462555, 428.0931263858093, 1299.1791044776119, 1178.5761589403974, 985.6060606060606, 1262.2442244224424, 1166.5822784810127,
17, 570.8144796380091, 636.9, 930.3932584269663, 768.6206896551724, 784.4642857142857, 864.4318181818181, 902.4858757062146, 577.1367521367522, 560.5737704918033, 564.9568965517242, 544.2003853564547, 607.8681318681319, 1022.5136612021857, 668.3844011142062, 987.6470588235294, 755.2173913043479, 676.4347826086956, 1312.9032258064517, 1098.9166666666667, 1173.7272727272727, 1135.036496350365, 657.8466076696166, 968.3448275862069, 897.8947368421053, 933.1023102310231, 984.7101449275362, 966.2080536912752, 603.9185750636133, 744.2028985507246, 563.1651376146789, 545.3104925053533, 426.06451612903226, 1313.3204633204634, 1248.021978021978, 1092.6575342465753, 1301.3214285714287, 1168.7378640776699,
18, 605.0930232558139, 647.1604938271605, 950.8720930232558, 785.3092783505155, 874.5177664974619, 801.9387755102041, 820.251256281407, 620.4621848739496, 541.6698656429943, 601.359649122807, 589.2045454545455, 599.2505353319058, 1021.6571428571428, 725.3538461538461, 1096.0122699386502, 886.6363636363636, 685.33527696793, 1266.4285714285713, 1033.3870967741937, 1057.0967741935483, 1283.4285714285713, 731.8150684931506, 989.7535211267606, 925.7006369426751, 924.5214521452145, 1047.5378787878788, 903.4083601286173, 746.8181818181819, 770.5882352941177, 632.984693877551, 550.1863354037267, 458.94144144144144, 1361.6730038022813, 1314.0711462450593, 1062.8534031413612, 1422.9615384615386, 1186.6775244299674,
19, 628.4650112866817, 656.2779156327543, 904.6354166666666, 748.9320388349514, 865.4901960784314, 785.1674641148326, 862.7894736842105, 648.744769874477, 570.0198807157058, 557.1398747390397, 605.8285714285714, 591.0119047619048, 960.7035175879397, 880.2884615384615, 1067.8181818181818, 876.7111111111111, 767.5415282392026, 1314.0625, 1088.5470085470085, 1191.025641025641, 1266.0, 705.8620689655172, 977.7551020408164, 944.3050847457627, 946.7957746478874, 1035.478927203065, 968.6428571428571, 835.6872037914692, 727.7124183006536, 685.2808988764045, 540.9009009009009, 490.5966587112172, 1376.1568627450981, 1304.938775510204, 1066.3395225464192, 1507.165991902834, 1213.3015873015872,
20, 646.015037593985, 666.9949494949495, 892.3711340206186, 748.0373831775701, 887.9716981132076, 844.5901639344262, 799.7512437810946, 651.9230769230769, 567.5051124744376, 580.2145922746781, 624.6850393700787, 565.7984790874525, 943.8383838383838, 1082.4375, 935.78125, 1029.1477272727273, 848.298755186722, 1354.8936170212767, 1153.0973451327434, 1110.0, 1301.3761467889908, 969.4387755102041, 1022.5978647686833, 930.1845018450184, 1009.2, 1023.3076923076923, 962.2509225092251, 899.6428571428571, 707.4431818181819, 863.4841628959276, 833.3632286995515, 475.3579175704989, 1345.4166666666667, 1425.2654867256638, 1110.7874015748032, 1545.702479338843, 1302.0740740740741,
21, 693.9473684210526, 668.4711779448621, 910.1657458563536, 782.2564102564103, 876.4179104477612, 918.3536585365854, 840.5820105820105, 649.1902834008097, 569.7405189620758, 568.4893617021277, 694.9234135667396, 570.1454545454545, 993.8202247191011, 1149.5035460992908, 1044.207650273224, 1080.1242236024846, 985.2577319587629, 1244.8148148148148, 1227.2972972972973, 1322.1495327102805, 1347.5, 988.6206896551724, 1019.7692307692307, 972.5270758122743, 1008.503937007874, 1023.1404958677685, 936.7883211678832, 1059.53125, 706.7934782608696, 1106.6923076923076, 1019.5302013422819, 487.4945054945055, 1443.719008264463, 1491.2272727272727, 1096.7098445595855, 1562.7118644067796, 1302.8,
22, 734.1515151515151, 670.4810126582279, 890.5524861878453, 778.6802030456853, 925.7142857142857, 758.7081339712919, 937.7914110429448, 672.1353065539112, 592.1951219512196, 592.0851063829788, 699.3818984547462, 624.507874015748, 948.2211538461538, 1078.407643312102, 1004.972972972973, 1139.078947368421, 1126.3855421686746, 1326.4948453608247, 1234.7787610619469, 1215.655737704918, 1375.0961538461538, 1007.1698113207547, 1008.4410646387832, 963.5555555555555, 1014.031007751938, 1011.1417322834645, 924.2950819672132, 1117.9527559055118, 688.9830508474577, 1072.642857142857, 1212.6724137931035, 523.0733944954128, 1492.6050420168067, 1466.9777777777779, 1101.5235457063711, 1658.1944444444443, 1324.0143369175628,
