iteration, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
10, 10330.15570934256, 7705.987341772152, 8949.395437262358, 10118.910447761195, 11557.17004048583, 12047.394366197183, 10916.322505800465, 12069.21095890411, 12198.719587628866, 12174.86651053864, 7532.038817005545, 7271.016359918201, 7957.528340080971, 8700.072595281306, 7690.273267326733, 7994.836021505376, 7514.974074074074, 7007.665605095542, 7189.308641975309, 7927.531772575251, 8739.688524590163, 8807.805825242718, 8227.775229357798, 8066.785407725322, 9288.077235772358, 5133.663793103448, 7545.982993197279, 2001.9295154185022, 6651.824620573356, 3645.123853211009, 9590.241877256318, 8589.486725663717, 12034.59192825112, 6226.8861386138615, 12240.979166666666,
11, 11037.832713754648, 8311.88425925926, 10487.217054263567, 11102.119691119691, 11816.41935483871, 11811.136507936508, 11164.096605744126, 12052.970501474927, 12625.67981438515, 10994.21409921671, 8750.511293634498, 7442.8634453781515, 8485.377697841726, 9165.617848970252, 9102.554987212276, 9424.775862068966, 8176.110344827586, 8177.238562091503, 8634.56418918919, 7616.101886792453, 8066.714953271028, 8605.575268817205, 9840.180412371134, 8411.20465116279, 9547.838028169013, 5226.35873015873, 7353.70715835141, 4939.21412803532, 6309.18556701031, 4343.892703862661, 10758.608490566037, 8906.628140703517, 13506.085714285715, 6934.325966850829, 13976.48161764706,
12, 11735.449541284404, 8569.852713178294, 9811.756554307116, 11303.031914893618, 10910.252669039146, 12084.737588652482, 11237.13569321534, 12134.185064935065, 12407.82119205298, 11645.217283950617, 7689.767657992565, 7919.254697286013, 8100.637596899225, 8790.265993265994, 7844.861271676301, 11015.053497942386, 8179.5341365461845, 8154.037974683544, 8662.63223140496, 9089.052, 8306.200836820084, 9515.239263803682, 11395.936507936507, 8704.794238683127, 9534.098214285714, 7330.0180505415165, 7997.1029810298105, 2900.289308176101, 8883.498993963784, 5216.1910828025475, 11993.840830449826, 9206.971830985916, 17200.70711297071, 6428.588235294118, 16220.325925925927,
13, 12912.513725490197, 8615.781395348837, 10342.976331360947, 12124.627306273063, 11783.606896551724, 12139.651162790698, 11910.71191135734, 12487.495522388059, 13019.044270833334, 11601.392572944296, 7528.26354679803, 8052.609589041096, 9270.413793103447, 9453.35761589404, 7115.297180043384, 8938.287735849057, 8647.546875, 9721.393617021276, 8616.303797468354, 8732.424242424242, 8659.075949367088, 9131.01935483871, 8701.131034482758, 8848.309677419355, 8616.651741293532, 8103.670731707317, 9277.997311827958, 1008.3317535545024, 9808.598853868194, 6184.344884488449, 15015.74617737003, 8850.392694063927, 16128.780082987552, 6886.869565217391, 19109.765799256507,
14, 12069.725274725275, 8740.57142857143, 10668.83208955224, 10756.98353909465, 11684.412844036697, 13886.241830065359, 10839.64175257732, 12721.002427184467, 13961.508670520232, 12272.064814814816, 8364.701052631579, 8732.44419642857, 10004.733766233767, 8475.148979591837, 8672.215481171548, 8961.743362831858, 8847.728346456694, 9498.69109947644, 10226.381818181819, 9670.09375, 8218.75111111111, 8681.129533678757, 9484.33734939759, 9262.888888888889, 8769.376470588235, 9282.128140703517, 10733.39945652174, 5322.128787878788, 10669.305993690852, 6784.392971246007, 17069.947194719472, 8663.831632653062, 19805.70531400966, 7064.80985915493, 21645.188976377955,
15, 11973.008510638298, 9251.665217391304, 10557.262886597939, 10695.525773195875, 12206.023255813954, 12811.467213114754, 11614.252747252747, 12431.57248157248, 13493.698961937716, 12731.417661097852, 8709.39587628866, 9215.372372372372, 9031.896396396396, 8352.324596774193, 8613.092550790068, 9383.964285714286, 10119.732718894009, 9278.91847826087, 9612.162679425837, 10811.138655462184, 8195.503067484662, 9519.634831460675, 9526.549783549783, 8810.934426229509, 10382.235849056604, 9009.492985971943, 11343.578125, 8994.306629834255, 11979.09727626459, 7753.384466019417, 23248.944881889765, 8946.942307692309, 25836.504761904762, 7147.104166666667, 28089.163157894738,
16, 11739.801587301587, 10614.775330396476, 10297.912280701754, 11500.948979591836, 10713.160642570281, 12476.6975, 10795.71794871795, 13172.303724928366, 11765.234299516907, 12430.525139664804, 9073.33962264151, 8918.553805774278, 9073.190064794817, 9244.181598062954, 8741.766233766233, 9522.626666666667, 10160.498113207546, 9286.624338624339, 10051.665413533834, 9518.981042654028, 8850.555555555555, 8758.990566037735, 12143.265536723164, 10670.961538461539, 11437.117647058823, 9413.086868686869, 10505.375404530745, 6480.905882352941, 11366.186206896551, 8153.678240740741, 27676.99441340782, 8693.118279569893, 31480.479452054795, 8274.529616724738, 30635.480198019803,
17, 12018.75630252101, 11090.995515695067, 10678.106976744186, 11929.419191919193, 12196.221739130435, 12098.237244897959, 12418.99421965318, 13150.555873925501, 12205.137724550897, 13307.77966101695, 9502.721088435374, 9411.892583120205, 9763.310272536688, 9490.618055555555, 9431.900692840647, 9960.748768472906, 9913.41059602649, 9298.952879581151, 9945.898395721924, 11207.320574162679, 8768.972972972973, 8832.616326530613, 9994.005813953489, 9365.58, 10300.328767123288, 10155.556818181818, 10531.920731707318, 2424.5491071428573, 12150.166666666666, 8935.239436619719, 36109.28813559322, 8928.578947368422, 36140.427835051545, 10385.469879518072, 38551.01734104046,
18, 12208.911917098445, 10914.837438423645, 11035.075555555555, 12355.027777777777, 11636.13524590164, 12410.12441314554, 11237.930769230768, 12521.691525423728, 13223.728, 12535.767772511848, 9409.616557734205, 8031.64739884393, 9633.550264550264, 9324.87973273942, 8901.734491315137, 9754.962962962964, 10390.125786163522, 9367.4, 11036.811518324608, 10825.525252525253, 8557.608870967742, 9046.166666666666, 10948.51552795031, 10166.426470588236, 10241.60248447205, 9639.657142857142, 10209.775800711745, 4018.4868421052633, 12078.908296943231, 10239.364896073903, 44340.89677419355, 8761.796116504855, 38896.96571428572, 12850.628458498024, 49381.441379310345,
19, 11183.083333333334, 11496.692982456141, 11408.103896103896, 11962.044943820225, 11867.677824267783, 12355.777456647398, 12486.718475073314, 11426.164285714285, 13413.79187817259, 12335.913165266107, 9438.123786407767, 8931.431876606684, 10082.68044077135, 9277.668257756563, 9198.893665158372, 9427.140939597315, 9935.113989637306, 9672.37125748503, 10710.122340425532, 11922.986547085202, 9769.622047244095, 8788.512658227848, 10875.351648351649, 10863.293413173653, 9974.440677966102, 9507.387234042553, 10966.667820069204, 7178.135693215339, 12657.549783549783, 10482.732704402515, 47047.6186440678, 9431.95, 44460.024, 17635.984126984127, 50263.16197183099,
20, 10710.379310344828, 11663.425149700599, 10992.805555555555, 12475.985576923076, 11025.710638297873, 12392.741935483871, 12006.888217522659, 14004.985915492958, 12235.486646884274, 12038.551820728291, 10214.38199513382, 8752.7841191067, 10097.583090379008, 9875.597674418605, 9308.745591939547, 9878.893617021276, 10766.814814814816, 10132.916666666666, 11512.006578947368, 11947.149758454107, 10212.697142857143, 9506.430463576158, 9969.436464088398, 11139.692307692309, 10120.32905982906, 10128.565022421524, 10661.741007194245, 9364.56629834254, 13111.164233576643, 10189.377358490567, 48240.786206896555, 9751.757009345794, 45747.23448275862, 24290.879746835442, 50421.96527777778,
21, 12160.90650406504, 11761.591463414634, 11066.52736318408, 12133.385786802031, 11707.204697986577, 12635.803493449781, 12336.057432432432, 12910.42857142857, 13161.861538461539, 13395.764534883721, 9417.395465994961, 9060.653164556961, 9869.295, 9797.036842105263, 9193.129770992366, 9806.702380952382, 11743.032407407407, 9907.99033816425, 10172.897959183674, 11567.009900990099, 9527.006060606062, 9754.575471698114, 10657.869565217392, 10004.649717514125, 10871.322033898305, 9542.025, 11829.271739130434, 10444.340229885058, 13278.136363636364, 11292.859649122807, 49703.76056338028, 10530.304195804196, 47973.520661157025, 28130.866666666665, 53910.827067669175,
22, 12002.792626728111, 11219.740963855422, 10511.096069868996, 11621.340425531915, 11944.38, 12305.32, 12175.552901023892, 12066.105882352942, 13312.628169014084, 12243.063529411766, 9181.67415730337, 9953.736434108527, 10433.029680365296, 9813.106824925817, 9198.563725490196, 11101.286516853932, 10899.934010152285, 10617.857894736842, 9993.558252427185, 12972.549132947977, 9356.77894736842, 9432.231404958678, 9464.647435897436, 9342.072164948453, 10601.128, 10828.825203252032, 10707.739130434782, 12504.785714285714, 13395.351063829787, 11803.348684210527, 53004.39416058394, 12329.973941368078, 51148.26315789474, 39473.07462686567, 53953.770992366415,
23, 10844.118518518519, 12391.805263157894, 11033.51269035533, 12144.638095238095, 11558.721393034826, 12464.962732919255, 12630.580204778156, 12225.8, 12743.978723404256, 11915.531553398057, 10056.665924276169, 9239.737931034482, 9892.845132743363, 9730.076530612245, 9839.573643410853, 10589.656626506025, 11736.125, 10419.94685990338, 11027.623762376237, 11168.709844559586, 9759.97520661157, 10128.869047619048, 10260.48128342246, 10133.761006289309, 10653.569444444445, 10450.661224489795, 12710.478494623656, 12878.783861671469, 12728.243478260869, 11880.844594594595, 53135.2700729927, 17067.78066914498, 50852.99270072993, 44412.125, 57033.96031746032,
24, 11145.120331950207, 11670.409574468085, 11651.055555555555, 12706.626811594202, 11842.852272727272, 11846.9726443769, 12292.92372881356, 12949.482093663912, 12838.384868421053, 12450.382585751979, 10095.328703703704, 9332.314903846154, 9715.338383838383, 10285.749414519907, 9612.431318681318, 10262.447058823529, 11413.238532110092, 10371.725388601037, 11376.036231884058, 12696.098901098901, 9759.007874015748, 9342.302752293577, 10248.07650273224, 11597.59090909091, 11331.380710659898, 11001.705357142857, 11836.588744588744, 13028.38283828383, 13008.273109243697, 13736.747933884297, 52421.43065693431, 23286.666666666668, 51462.79338842975, 52585.903846153844, 57919.208,
25, 10867.94214876033, 11927.621301775149, 11828.189573459716, 13014.74269005848, 11500.259574468086, 10796.817204301075, 12277.069841269842, 12496.398843930636, 13765.676315789473, 13503.958549222798, 10423.603896103896, 9924.1875, 10638.802247191012, 9914.89423076923, 9641.84289276808, 10835.756521739131, 11843.0, 9908.26, 11219.278481012658, 11982.391959798995, 10410.327188940093, 9448.802259887005, 9801.823529411764, 10695.537234042553, 12400.684444444445, 10748.912790697674, 12741.80586080586, 13768.379310344828, 13382.753086419752, 14322.356666666667, 55322.14615384615, 27084.02688172043, 53003.49230769231, 53773.049019607846, 61496.852173913045,
26, 11746.31330472103, 12217.946236559139, 10952.42543859649, 12423.37558685446, 11567.79203539823, 11293.0, 11219.094915254238, 13040.281345565749, 13624.15652173913, 14568.954674220964, 9969.83830845771, 10496.701949860724, 11440.89737470167, 10841.3995215311, 9015.825665859564, 12126.527777777777, 12508.387559808612, 10577.989583333334, 10740.4793814433, 12820.245810055865, 10586.104545454546, 9869.020304568528, 9150.10582010582, 9837.35260115607, 11875.58762886598, 11274.302325581395, 12741.765182186235, 16852.34123222749, 14315.20703125, 13809.164179104477, 56985.952, 30425.933333333334, 53167.748091603054, 58758.357142857145, 57764.97637795276,
27, 12179.72159090909, 12772.514150943396, 10930.651639344262, 13178.305263157894, 10804.734693877552, 11652.947540983607, 11469.501557632399, 13347.701986754966, 13237.78835978836, 13412.78476821192, 9437.27033492823, 10077.544529262086, 10932.003058103975, 10101.026128266034, 9810.433249370277, 11663.634615384615, 12620.596412556053, 10706.15625, 10602.374407582938, 13940.854545454546, 9381.450980392157, 9369.15671641791, 9503.782945736433, 10933.346456692914, 10360.579545454546, 11688.78672985782, 12706.502109704641, 16306.992509363296, 13110.078341013825, 13007.251256281406, 53434.06766917293, 34294.833333333336, 55382.11504424779, 55360.48314606742, 59279.852459016394,
28, 10689.470852017937, 11104.765363128492, 10580.827102803738, 12718.803738317756, 12040.60546875, 11281.986206896552, 12156.761146496816, 13145.235465116279, 12645.706989247312, 12814.696808510638, 9897.162436548224, 10534.743386243386, 11326.216463414634, 10919.393063583815, 10067.063938618925, 11131.71515151515, 13281.783132530121, 11190.0, 10912.77157360406, 15278.867469879518, 10034.336032388665, 9645.856115107914, 9071.866666666667, 9950.19642857143, 11422.544715447155, 10989.392670157067, 11840.089686098654, 17468.22697368421, 13389.282894736842, 14606.356589147286, 53245.166666666664, 37493.64227642276, 53545.474137931036, 55439.41836734694, 59683.617886178865,
29, 10879.852112676057, 12572.318725099602, 10421.834042553191, 12787.175257731958, 11515.084158415842, 11663.798679867987, 11793.483076923078, 12194.064606741573, 13090.073770491803, 14092.349162011173, 10691.614213197969, 10058.529255319148, 11471.815950920245, 10026.690647482015, 10228.679203539823, 12447.179310344827, 12827.145077720208, 10809.156069364162, 10533.947712418301, 13464.372093023256, 9128.214876033058, 9820.518918918919, 8999.813953488372, 10501.20197044335, 11122.666666666666, 11398.691489361701, 13169.35909090909, 16886.333333333332, 13988.55, 14936.399267399267, 54113.984375, 39247.82580645161, 55484.82307692308, 61333.819444444445, 62813.92105263158,
30, 11244.596, 11525.840182648402, 10759.176470588236, 13054.348623853211, 10987.369863013699, 11978.841911764706, 12493.413489736071, 14023.55, 13639.540682414698, 14514.318181818182, 10597.212713936431, 10049.479809976247, 12089.74300254453, 10250.037688442211, 9122.383522727272, 14364.934782608696, 13233.388571428572, 10654.3184079602, 10469.313829787234, 15856.207317073171, 9313.639484978541, 9456.172043010753, 9191.1, 10517.24107142857, 11447.78431372549, 10800.015706806284, 12307.718146718147, 17234.14285714286, 15265.342205323193, 15160.195035460993, 55342.13492063492, 41394.727891156464, 55470.28448275862, 58221.183908045976, 58526.50793650794,
31, 10869.101063829787, 10709.925925925925, 11298.677725118483, 11604.608294930875, 11865.713541666666, 11653.028673835126, 12846.738410596026, 13322.977346278318, 14616.15644171779, 14936.56388888889, 10430.964824120603, 10794.749379652605, 12615.229857819906, 9875.209245742093, 9871.423913043478, 12531.197452229299, 16421.94482758621, 11251.995098039215, 11144.162303664922, 17074.974522292992, 9808.140449438202, 9347.114583333334, 10306.086614173228, 10501.549707602338, 9965.62447257384, 11638.064516129032, 12747.492753623188, 18008.88725490196, 15810.366515837104, 15272.568548387097, 56717.83870967742, 43535.471830985916, 56212.95348837209, 59491.14473684211, 61903.01652892562,
32, 11965.61797752809, 12210.157232704403, 11722.479768786126, 12050.969298245614, 10904.986666666666, 11358.76923076923, 11782.142857142857, 14770.337765957447, 13439.493975903615, 16876.335593220338, 10241.677685950413, 10334.93164556962, 13103.25947521866, 10320.533980582524, 10501.082901554404, 14082.966666666667, 17635.602339181285, 10704.481481481482, 11214.441314553991, 16744.651982378855, 10095.58431372549, 9690.123711340206, 11522.719424460432, 9732.772357723577, 10008.264705882353, 11569.30859375, 14053.842105263158, 18954.317073170732, 15786.05314009662, 15520.960199004976, 59445.813559322036, 47942.65891472868, 53900.84962406015, 57807.91860465116, 60188.154471544716,
33, 11652.66255144033, 12017.879069767441, 11521.637362637362, 11207.68811881188, 10867.201646090534, 11312.104693140795, 12318.396923076923, 14633.094955489614, 14100.019498607242, 16719.604278074865, 10402.756906077348, 10113.470588235294, 13709.867374005305, 10793.869333333334, 10685.237089201877, 14192.801169590643, 18690.205714285716, 11477.923076923076, 12255.88679245283, 17011.330935251797, 10361.09375, 10081.76923076923, 10539.35606060606, 10174.875, 10894.197802197803, 11197.062146892655, 13697.876777251186, 18774.21761658031, 16458.04716981132, 15060.652173913044, 57427.42741935484, 46405.794117647056, 55185.143939393936, 60736.63440860215, 63590.77678571428,
34, 11917.622568093386, 12930.219387755102, 11050.701570680629, 12583.71921182266, 11019.65142857143, 11157.239766081871, 11180.930463576158, 14347.664285714285, 14851.088383838383, 16696.362433862432, 11404.798408488065, 10376.932668329177, 14171.214925373135, 10325.421994884911, 10445.771505376344, 15951.32584269663, 19022.72121212121, 10793.309941520467, 11579.610576923076, 17881.29655172414, 11543.79274611399, 9912.477011494253, 10190.01, 9085.77, 9776.0125, 12303.233128834356, 14304.00462962963, 20871.86387434555, 16639.713414634145, 16399.280701754386, 59044.261261261265, 46798.19708029197, 53725.718518518515, 60412.84042553192, 64333.73043478261,
35, 11409.549295774648, 12201.94642857143, 11816.702222222222, 12196.297142857144, 11447.529411764706, 11586.770318021201, 11949.29430379747, 15015.273885350318, 14005.106267029973, 16471.823369565216, 12210.726708074535, 10271.347826086956, 14109.952830188678, 10727.022883295194, 10435.953038674033, 16275.73, 19720.57594936709, 11967.223958333334, 10855.753246753247, 18674.91515151515, 10336.631578947368, 9388.58962264151, 11321.167741935484, 9825.791304347826, 9996.434523809523, 11498.164948453608, 14610.584210526316, 20191.509677419355, 15397.80459770115, 15482.235555555555, 62970.59130434783, 46458.81884057971, 56150.37984496124, 59452.27272727273, 65985.25,
36, 12421.547717842324, 12251.435754189944, 10194.364532019705, 12470.03825136612, 11278.54044117647, 13149.098630136987, 11878.081712062256, 13703.462897526502, 13830.058139534884, 16391.24375, 12374.806818181818, 10920.407103825137, 13458.758241758242, 10500.991780821918, 10841.414201183432, 18209.675438596492, 20559.289855072464, 11743.020134228187, 12109.691780821919, 18979.576470588236, 11344.017699115044, 10135.10824742268, 10797.4, 9736.760683760684, 10458.845454545455, 13080.255319148937, 14642.832512315272, 20791.924623115578, 17134.622377622378, 15787.275109170305, 59618.22727272727, 54106.52100840336, 56510.564885496184, 60567.62337662338, 67421.94545454545,
37, 11328.72105263158, 12126.592592592593, 11715.6267281106, 11950.317757009347, 11913.432692307691, 12336.991666666667, 12534.29411764706, 13680.303977272728, 14426.096018735363, 15688.339285714286, 13534.385496183206, 11109.007228915663, 13431.53431372549, 11051.75590551181, 10287.479411764705, 15996.315068493152, 19788.868852459018, 11040.511494252874, 11294.976047904192, 20969.261904761905, 11927.768844221106, 10857.91447368421, 9489.652694610779, 9528.021739130434, 11521.677083333334, 12005.75925925926, 14939.376288659794, 19955.265625, 17461.838983050846, 16789.302040816325, 63310.75268817204, 49848.14615384615, 58151.04724409449, 61529.15217391304, 67491.40909090909,
38, 11482.205240174673, 12447.353233830845, 10746.32098765432, 12174.69082125604, 11231.543918918918, 11514.0, 12547.75, 14414.636363636364, 14703.162721893492, 15082.506426735219, 12570.504273504273, 11949.018518518518, 13554.92926045016, 10804.440104166666, 10595.339285714286, 17140.96153846154, 19508.271317829458, 11362.162436548224, 13051.201086956522, 22236.35135135135, 11351.866666666667, 11791.557971014492, 10025.793103448275, 9813.852760736196, 11250.81560283688, 12698.10576923077, 15293.865470852017, 20595.480662983424, 14728.563636363637, 16751.909090909092, 60857.125, 51856.95275590551, 56354.99230769231, 58575.379746835446, 62915.52830188679,
39, 11215.21301775148, 12719.771241830065, 11069.544041450778, 11445.29017857143, 11815.208333333334, 12713.660098522167, 12568.922033898305, 12274.19387755102, 14430.325227963525, 17008.729344729345, 13588.839673913044, 11873.079178885631, 14234.460207612457, 11114.643391521196, 10800.967123287672, 17357.275862068964, 20800.859813084113, 11999.466666666667, 11477.147368421052, 20989.379310344826, 11553.552941176471, 10630.703296703297, 10609.12643678161, 9827.88829787234, 11193.59, 11768.435028248588, 13490.610465116279, 21126.53020134228, 16683.238095238095, 16141.466019417476, 61818.38842975206, 56362.55752212389, 61047.90082644628, 62732.215053763444, 68258.4074074074,
40, 11853.019704433498, 11757.914572864322, 12084.243119266055, 11516.171296296296, 11862.380434782608, 10893.684931506848, 12381.258064516129, 14522.523333333333, 15581.965838509317, 17708.342776203965, 12949.056650246306, 12337.274151436031, 13972.039325842698, 11700.347721822542, 10779.073349633252, 16983.95918367347, 19019.95731707317, 11647.96590909091, 10721.993548387096, 20054.109489051094, 11865.721212121212, 9901.393617021276, 11063.45251396648, 9288.124378109453, 13256.612021857924, 12911.111650485436, 16365.108108108108, 22314.220858895704, 18024.134969325154, 18862.10769230769, 65802.64912280702, 52988.97619047619, 59310.41803278688, 59959.989690721646, 70756.54285714286,
41, 12760.57142857143, 11869.602094240838, 10657.816037735849, 12610.725099601594, 11437.47926267281, 11516.200772200773, 12516.627986348123, 14445.517615176152, 16864.93883792049, 17544.505434782608, 13445.362068965518, 12240.112804878048, 13451.571856287424, 11656.774566473989, 11521.80655737705, 17373.457627118645, 18930.611940298506, 11393.305263157894, 12726.125, 21668.56551724138, 11219.054545454546, 10411.098901098901, 10602.478260869566, 9517.729559748428, 13004.303664921466, 11497.26455026455, 16551.42372881356, 22073.52666666667, 18833.677215189873, 17305.57619047619, 67160.33628318584, 52283.8671875, 63183.581196581195, 64036.574468085106, 66302.3063063063,
42, 11198.907172995781, 11478.536585365853, 11571.445652173914, 12658.597457627118, 11432.28125, 11688.361313868612, 12231.939597315437, 13499.224043715847, 15764.971014492754, 16065.140350877193, 13352.464467005077, 12224.664804469274, 14212.84962406015, 11480.208333333334, 11528.705289672544, 16877.136363636364, 20312.78832116788, 11960.709183673469, 12456.632768361582, 20145.156862745098, 11136.016853932584, 10660.251396648046, 11812.014705882353, 9895.2, 13084.859756097561, 13197.67132867133, 14789.284974093263, 22055.18493150685, 19303.073446327682, 18971.127358490565, 66537.51754385965, 52572.10256410256, 63321.555555555555, 65427.47826086957, 67813.90990990991,
