iteration, Cramer_ncLR0.00005_1, Cramer_ncLR0.00005_3, c51_1, c51_2, c51_3, c51_4, c51_5, double_q_1, double_q_2, double_q_3, double_q_4, double_q_5, dqn_1, dqn_2, dqn_3, dqn_4, dqn_5, iqn_1, iqn_2, iqn_3, iqn_4, iqn_5, prioritized_1, prioritized_2, prioritized_3, prioritized_4, prioritized_5, qrdqn_1, qrdqn_2, qrdqn_3, qrdqn_4, qrdqn_5, rainbow_1, rainbow_2, rainbow_3, rainbow_4, rainbow_5,
10, -25344.340425531915, -24885.649484536083, -20122.536231884056, -19798.44680851064, -22708.225225225226, -21860.43859649123, -19339.95138888889, -28398.9125, -20170.467153284673, -19437.503448275864, -19604.916083916083, -20114.890510948906, -22096.846153846152, -18429.79375, -22836.828828828828, -23097.743119266055, -22589.821428571428, -21369.090909090908, -22322.956140350878, -21944.91379310345, -23218.367924528302, -22363.424778761062, -23576.254716981133, -22448.954954954956, -23398.169811320753, -24602.123711340206, -24403.131313131315, -31201.546875, -30488.242424242424, -31199.333333333332, -31136.920634920636, -31235.09375, -16583.738693467338, -16308.034825870647, -16434.877551020407, -18319.182352941178, -16718.719576719577,
11, -25677.516483516483, -24838.79381443299, -18029.994011976047, -19998.45925925926, -23910.645833333332, -19972.33823529412, -21748.5593220339, -23046.091743119265, -19654.08510638298, -19611.408450704224, -19334.3125, -19565.42361111111, -23248.064220183485, -18148.201219512193, -22946.936363636363, -22765.603603603602, -22591.63716814159, -22052.275862068964, -22607.29203539823, -22765.854545454546, -22747.8, -23131.719626168226, -24484.383838383837, -23813.990384615383, -23434.04716981132, -24801.673684210527, -24337.37, -31012.985294117647, -31167.96923076923, -31186.828125, -30302.015384615384, -31153.075757575756, -16299.985221674877, -16369.243781094527, -16527.526041666668, -17444.984126984127, -15900.825471698114,
12, -25074.791666666668, -25308.09677419355, -20141.404411764706, -20472.6953125, -20628.44094488189, -18923.605263157893, -21996.76724137931, -19831.5035971223, -19697.751773049644, -19707.943262411347, -19890.08510638298, -19463.809859154928, -22598.814159292036, -18086.433734939757, -22373.353982300883, -23142.0, -22541.814159292036, -21759.475, -24048.059405940596, -22885.536363636365, -21909.217391304348, -21692.126050420167, -25009.340425531915, -23269.35849056604, -23108.603773584906, -24095.920792079207, -24394.118811881188, -30540.441176470587, -30811.272727272728, -31123.234375, -31384.578125, -31690.59375, -16562.01020408163, -16183.906862745098, -16808.894736842107, -17010.052083333332, -16891.858757062146,
13, -24216.079207920793, -23750.485436893203, -23569.09375, -20270.874074074072, -19146.097402597403, -19093.353333333333, -22176.650485436894, -19308.5625, -20035.198529411766, -19782.72857142857, -19814.801418439718, -19354.95890410959, -22312.570175438595, -18113.242424242424, -22957.19090909091, -22951.918181818182, -22668.964601769912, -21803.806722689074, -25070.212765957447, -22756.081818181818, -21713.136752136754, -20941.10569105691, -24901.729166666668, -23118.65137614679, -22324.547008547008, -23515.819047619047, -24209.85, -30351.2, -30273.308823529413, -31099.030303030304, -32254.73015873016, -31434.636363636364, -17514.335195530726, -15398.75925925926, -15459.677130044844, -16529.906403940888, -15537.131455399061,
14, -22561.053571428572, -24497.525773195877, -24159.24175824176, -20820.190839694656, -22107.539130434783, -20046.29197080292, -22295.900900900902, -20077.97810218978, -19835.712230215828, -19682.02142857143, -19631.901408450703, -19560.86111111111, -22329.591304347825, -18243.134969325154, -22233.58620689655, -23043.70642201835, -22455.53982300885, -21391.303278688523, -24365.70707070707, -21750.067226890755, -22986.58653846154, -24109.40860215054, -22678.18918918919, -21521.48739495798, -22699.83035714286, -22690.339449541283, -23463.382352941175, -29516.08219178082, -30672.151515151516, -31422.84375, -31057.753846153846, -30777.82608695652, -17593.535294117646, -15503.735849056604, -15719.85046728972, -16890.73711340206, -15577.042857142857,
15, -24136.107843137255, -23710.115384615383, -21274.008474576272, -21944.782608695652, -22310.285714285714, -23912.433333333334, -20281.087591240877, -20215.34074074074, -20090.912408759123, -19928.820143884892, -19556.729166666668, -19544.18881118881, -22089.353448275862, -18038.454545454544, -22228.01724137931, -23304.58878504673, -22985.792792792792, -21487.79508196721, -23322.67619047619, -21007.808, -22437.610619469026, -24336.59139784946, -21614.690265486726, -19458.77536231884, -22948.51886792453, -22606.222222222223, -22193.46902654867, -28660.32051282051, -30101.77142857143, -30351.268656716416, -30138.805970149253, -30313.38028169014, -16455.164948453606, -15634.070422535211, -15965.032558139535, -17628.31843575419, -15481.746543778801,
16, -23891.60576923077, -23175.33962264151, -21309.685950413223, -26346.423076923078, -28003.571428571428, -20155.74045801527, -20831.198412698413, -20607.862595419847, -19705.121428571427, -20056.057553956834, -19642.340277777777, -19387.544827586207, -22306.09649122807, -18163.15243902439, -21421.631147540982, -23104.314814814814, -22793.252252252252, -21419.56557377049, -24172.59, -21521.0, -20928.056, -22401.646017699117, -19691.715328467155, -17610.234567901236, -21424.21551724138, -21423.383333333335, -22340.0, -28098.0, -29731.0, -30099.942028985508, -30758.985074626864, -27807.74683544304, -16401.81094527363, -15513.812785388129, -16069.866359447005, -16780.381443298967, -15599.262910798123,
17, -23068.12037037037, -23274.140186915887, -26707.102564102563, -20438.93023255814, -24099.865979381444, -20737.92, -23897.166666666668, -20285.828358208953, -20349.93233082707, -20398.796992481202, -19760.852112676057, -19139.093959731545, -22526.684210526317, -18277.85889570552, -22572.245614035088, -23150.743119266055, -22377.716814159292, -22211.321739130435, -23016.10280373832, -21512.20491803279, -21811.85714285714, -22374.29203539823, -18369.92, -16030.837696335078, -20272.63076923077, -21100.47967479675, -20979.454545454544, -27667.48148148148, -29827.805555555555, -29709.569444444445, -31161.608695652172, -28692.4, -16582.51256281407, -15848.759433962265, -15917.476851851852, -16085.807692307691, -15975.677725118483,
18, -24352.927835051545, -23809.427184466018, -21380.396551724138, -19452.707142857143, -22871.69523809524, -18733.92156862745, -23272.09708737864, -19995.705035971223, -20161.792592592592, -20028.14285714286, -19772.72340425532, -19479.944444444445, -22671.423423423425, -18007.090361445782, -22542.79464285714, -23679.238095238095, -22737.00909090909, -22104.810344827587, -22266.29203539823, -20991.0, -22137.385964912282, -22366.842105263157, -17321.78181818182, -15226.279411764706, -19847.394160583943, -20698.74418604651, -22475.758928571428, -29037.636363636364, -30366.802816901407, -29509.386666666665, -29915.708333333332, -29878.169014084506, -16409.1608040201, -15414.25, -17343.398907103827, -17590.71270718232, -15802.311627906976,
19, -23474.45283018868, -25053.159574468085, -22143.616071428572, -20035.30827067669, -21894.98214285714, -19474.681159420288, -19723.55072463768, -20305.194029850747, -20146.299270072992, -19906.719424460432, -19486.965277777777, -19305.86301369863, -22343.885964912282, -18129.204819277107, -21644.33613445378, -23602.70754716981, -22226.78448275862, -22420.681415929204, -22680.68181818182, -21013.552, -21790.26050420168, -21471.620689655174, -17872.067901234568, -15324.051020408164, -17981.67515923567, -20646.5234375, -21633.372881355932, -27659.20238095238, -29595.23287671233, -29324.934210526317, -30103.535211267605, -30135.422535211266, -15605.167441860465, -15551.02752293578, -15195.898230088496, -16907.673575129535, -15569.456221198157,
20, -23711.94230769231, -25215.129032258064, -21818.98214285714, -19705.925925925927, -22118.73873873874, -20958.3, -22514.302752293577, -20275.859259259258, -19960.47142857143, -19956.669064748203, -19314.54794520548, -19310.673469387755, -22444.342105263157, -18152.203703703704, -22750.117117117115, -23374.056074766355, -23142.311926605504, -21972.863247863246, -22362.13157894737, -20713.358778625956, -21659.30578512397, -21954.42735042735, -17923.49375, -16288.994708994709, -18117.65359477124, -19068.34965034965, -20717.93650793651, -28354.26923076923, -30027.458333333332, -29225.012987012986, -29356.986666666668, -30149.444444444445, -15941.817757009347, -15765.63425925926, -15185.822727272727, -16715.025510204083, -15633.438356164384,
21, -22499.6875, -24285.969696969696, -19405.475177304965, -23865.186813186814, -27630.426470588234, -20761.553719008265, -22444.354545454546, -21406.33064516129, -20940.33070866142, -19911.299270072992, -19232.925675675677, -18692.660256410258, -22664.20535714286, -18016.210843373494, -22639.300884955752, -23300.24074074074, -22733.258928571428, -21857.94871794872, -22121.810344827587, -20745.57364341085, -21288.344, -21734.14406779661, -17676.668711656443, -16845.710227272728, -16194.022222222222, -19370.13698630137, -18877.92361111111, -27895.864197530864, -27889.3417721519, -28965.03947368421, -29949.140845070422, -30595.214285714286, -15912.772511848341, -15459.470852017937, -15355.473451327434, -15862.4200913242, -15825.30985915493,
22, -22894.953703703704, -23306.669724770643, -20870.584, -22656.495238095238, -26452.948051948053, -20419.872, -24900.630434782608, -20756.1171875, -19440.694444444445, -19860.17021276596, -19500.239726027397, -19054.85064935065, -22476.165217391303, -18187.26380368098, -22236.568965517243, -22891.697247706423, -22769.72072072072, -22295.245614035088, -22867.045454545456, -21702.25, -21273.47967479675, -21754.308333333334, -18332.928104575163, -17432.823170731706, -15741.026041666666, -18972.352941176472, -18144.16233766234, -28542.75, -28342.23076923077, -29110.573333333334, -30672.114285714284, -30042.49315068493, -16507.19230769231, -15334.549107142857, -15633.768867924528, -15933.649769585254, -15690.281818181818,
23, -22210.695652173912, -23784.039215686276, -23888.465909090908, -20970.655737704918, -26695.958333333332, -19477.2, -23707.127659574468, -21620.766666666666, -20192.434782608696, -19504.069444444445, -19658.922535211266, -19338.966216216217, -22278.121739130434, -18198.27878787879, -22192.780701754386, -23613.594339622643, -22810.324324324323, -21592.76859504132, -22372.893805309734, -22763.427272727273, -22178.2, -22473.377192982458, -19344.856115107912, -16751.50857142857, -16542.723756906078, -19128.42483660131, -18103.483660130718, -28652.974025974025, -29540.013698630137, -28109.75, -29593.146666666667, -28812.42105263158, -16455.91176470588, -15535.284444444444, -15526.164319248826, -15812.422727272728, -16138.215311004784,
24, -22500.27927927928, -23112.174311926607, -24291.911111111112, -20605.66129032258, -27465.373333333333, -21497.981981981982, -21769.974576271186, -21917.51260504202, -19983.40287769784, -18463.295597484277, -19345.595890410958, -20672.32824427481, -22548.447368421053, -18090.125748502993, -22664.144144144146, -23354.18691588785, -22699.83035714286, -21817.470588235294, -22255.634782608697, -23072.256880733945, -21600.04201680672, -22014.025862068964, -19503.464285714286, -16668.058139534885, -16758.61325966851, -18788.74025974026, -17490.905660377357, -29050.32051282051, -29281.704225352114, -29484.72972972973, -29751.27027027027, -29476.86842105263, -15901.872727272726, -15633.50909090909, -15489.155339805826, -16134.527777777777, -15857.54260089686,
25, -23605.10476190476, -23673.333333333332, -26966.408450704224, -21839.612068965518, -22769.827272727274, -20725.114503816792, -21534.09836065574, -20686.961832061068, -19733.5390070922, -18376.159509202455, -20116.195652173912, -21172.8203125, -22485.22807017544, -18590.21875, -22903.625, -23285.916666666668, -23018.81818181818, -21606.80991735537, -22456.035087719298, -22498.743362831858, -21796.58823529412, -21850.525, -20272.984962406015, -16592.872093023256, -17222.190476190477, -18298.75, -18043.228758169935, -28694.155844155845, -29488.04054054054, -28530.597402597403, -30255.211267605635, -29868.178082191782, -15672.704545454546, -15468.6288209607, -14572.554166666667, -15904.995412844037, -16257.469194312796,
26, -23603.076923076922, -22858.45871559633, -25620.4358974359, -19620.207407407408, -25259.137931034482, -18767.626666666667, -19634.5, -20485.48120300752, -18763.31168831169, -19141.864516129033, -19737.555555555555, -20385.425373134327, -23254.345794392524, -18165.590361445782, -22278.034782608695, -23357.429906542056, -22534.743362831858, -22057.9243697479, -22307.263157894737, -22303.460869565217, -21516.114754098362, -22508.37168141593, -20486.859375, -17110.82424242424, -16945.68, -18578.154838709677, -17819.13125, -27973.456790123455, -28540.25974025974, -28913.23076923077, -29658.45945945946, -29379.04054054054, -15989.37962962963, -15822.58371040724, -14827.609649122807, -16238.66028708134, -15963.022831050228,
27, -23393.314285714285, -22895.65137614679, -25866.44871794872, -19814.105263157893, -26830.75641025641, -18249.23566878981, -20786.91129032258, -20440.10447761194, -19059.693333333333, -19087.28947368421, -19308.49668874172, -20598.69172932331, -22535.672566371682, -18364.006211180124, -22310.539130434783, -23431.47663551402, -22378.043478260868, -20955.14285714286, -21881.186440677968, -22788.973451327434, -21501.297520661155, -22098.97435897436, -20930.2, -17197.610778443115, -17045.104046242774, -20778.853846153845, -18770.23448275862, -28418.864197530864, -29856.64864864865, -28695.38961038961, -28240.4625, -29614.594594594593, -15990.846511627908, -15456.273542600897, -15394.013888888889, -16141.36018957346, -15751.37668161435,
28, -24831.061224489797, -22662.910714285714, -21414.09649122807, -21184.36440677966, -19029.602836879432, -17966.889570552146, -20033.828358208953, -19826.049295774646, -19238.304054054053, -19477.124137931034, -20047.835714285713, -21080.535433070865, -22925.64864864865, -18480.563291139242, -21842.831932773108, -24535.79, -22620.473214285714, -21030.134920634922, -22137.31623931624, -22410.04424778761, -21254.39344262295, -21946.28205128205, -20457.90076335878, -16493.217142857142, -16691.96685082873, -20582.98473282443, -19131.090277777777, -27402.647058823528, -28576.0641025641, -28354.974683544304, -28481.14285714286, -28260.275, -16147.032863849765, -15402.930735930737, -15270.995495495496, -16159.206572769954, -16090.401869158879,
